id,corpus,stratum,type,source,title,year,url,accessible,inclusion_reason,notes,topic
10.48550/arxiv.1706.03741,1-cs,Computer Science,paper,arXiv (Cornell University),Deep reinforcement learning from human preferences,2017,https://openalex.org/W2626804490,true,discipline:Computer Science; cited_by=508,,Reinforcement Learning in Robotics
10.1126/scirobotics.abm4183,1-cs,Computer Science,paper,Science Robotics,In situ bidirectional human-robot value alignment,2022,https://openalex.org/W4285392457,true,discipline:Computer Science; cited_by=74,,Explainable Artificial Intelligence (XAI)
10.48550/arxiv.2310.19852,1-cs,Computer Science,paper,arXiv (Cornell University),AI Alignment: A Comprehensive Survey,2023,https://openalex.org/W4388274718,true,discipline:Computer Science; cited_by=70,,Software Engineering Research
10.1145/3491102.3501965,1-cs,Computer Science,paper,CHI Conference on Human Factors in Computing Systems,Shared Interest: Measuring Human-AI Alignment to Identify Recurring Patterns in Model Behavior,2022,https://openalex.org/W4224980442,true,discipline:Computer Science; cited_by=51,,Explainable Artificial Intelligence (XAI)
10.1007/s11098-024-02249-w,1-cs,Computer Science,paper,Philosophical Studies,Beyond Preferences in AI Alignment,2024,https://openalex.org/W4404200702,true,discipline:Computer Science; cited_by=20,,Reinforcement Learning in Robotics
10.1080/03071847.2019.1694260,1-cs,Political Science,paper,The RUSI Journal,What is the State of Artificial Intelligence Governance Globally?,2019,https://openalex.org/W2990856437,true,discipline:Political Science; cited_by=171,,Ethics and Social Impacts of AI
10.1007/s11077-022-09452-8,1-cs,Political Science,paper,Policy Sciences,The politics of Artificial Intelligence regulation and governance reform in the European Union,2022,https://openalex.org/W4214919116,true,discipline:Political Science; cited_by=73,,European Union Policy and Governance
10.1145/3375627.3375857,1-cs,Political Science,paper,Proceedings of the AAAI/ACM Conference on AI Ethics and Society,Should Artificial Intelligence Governance be Centralised?,2020,https://openalex.org/W3005462201,true,discipline:Political Science; cited_by=55,,Cybersecurity and Cyber Warfare Studies
10.1007/s43681-024-00492-9,1-cs,Political Science,paper,AI and Ethics,"Artificial intelligence, the common good, and the democratic deficit in AI governance",2024,https://openalex.org/W4398208103,true,discipline:Political Science; cited_by=32,,Political Philosophy and Ethics
10.2139/ssrn.4218031,1-cs,Political Science,paper,SSRN Electronic Journal,Law Informs Code: A Legal Informatics Approach to Aligning Artificial Intelligence with Humans,2022,https://openalex.org/W4297840560,true,discipline:Political Science; cited_by=22,,Artificial Intelligence in Law
10.1038/s41586-018-0637-6,1-cs,Psychology,paper,Nature,The Moral Machine experiment,2018,https://openalex.org/W2896252141,true,discipline:Psychology; cited_by=1765,,Psychology of Moral and Emotional Judgment
10.1016/j.cognition.2018.08.003,1-cs,Psychology,paper,Cognition,People are averse to machines making moral decisions,2018,https://openalex.org/W2886363025,true,discipline:Psychology; cited_by=677,,Psychology of Moral and Emotional Judgment
10.1093/pq/pqae010,1-cs,Psychology,paper,The Philosophical Quarterly,Understanding Artificial Agency,2024,https://openalex.org/W4391592270,true,discipline:Psychology; cited_by=39,,Philosophy and Theoretical Science
10.1007/s00146-021-01305-x,1-cs,Psychology,paper,AI & Society,Could artificial intelligence have consciousness? Some perspectives from neurology and parapsychology,2021,https://openalex.org/W3217342481,true,discipline:Psychology; cited_by=10,,Paranormal Experiences and Beliefs
10.3386/w24174,1-cs,Economics,paper,National Bureau of Economic Research,Artificial Intelligence and Its Implications for Income Distribution and Unemployment,2017,https://openalex.org/W2776311290,true,discipline:Economics; cited_by=356,,Economic Growth and Productivity
10.7208/chicago/9780226613475.001.0001,1-cs,Economics,paper,RePEc: Research Papers in Economics,The Economics of Artificial Intelligence: An Agenda,2019,https://openalex.org/W2890116734,true,discipline:Economics; cited_by=93,,Innovation Diffusion and Forecasting
10.3386/w29647,1-cs,Economics,paper,National Bureau of Economic Research,The Moral Preferences of Investors: Experimental Evidence,2022,https://openalex.org/W4205434771,true,discipline:Economics; cited_by=60,,Islamic Finance and Banking Studies
10.1145/3306618.3314250,1-cs,Economics,paper,TSpace,Incomplete Contracting and AI Alignment,2019,https://openalex.org/W2963086506,true,discipline:Economics; cited_by=54,,"Law, Economics, and Judicial Systems"
10.1162/99608f92.8cd550d1,1-cs,Philosophy,paper,Harvard Data Science Review,A Unified Framework of Five Principles for AI in Society,2019,https://openalex.org/W2954266614,true,discipline:Philosophy; cited_by=1065,,Ethics and Social Impacts of AI
10.1017/cbo9781139046855.020,1-cs,Philosophy,paper,Cambridge University Press eBooks,The ethics of artificial intelligence,2014,https://openalex.org/W2506282302,true,discipline:Philosophy; cited_by=757,,Explainable Artificial Intelligence (XAI)
10.1007/s11023-020-09539-2,1-cs,Philosophy,paper,Minds and Machines,"Artificial Intelligence, Values, and Alignment",2020,https://openalex.org/W3002093512,true,discipline:Philosophy; cited_by=616,,Ethics and Social Impacts of AI
https://openalex.org/W3022125597,1-cs,Philosophy,paper,TU/e Research Portal,Ethics of artificial intelligence and robotics,2020,https://openalex.org/W3022125597,true,discipline:Philosophy; cited_by=325,,Ethics and Social Impacts of AI
